2024-11-23-14-59-10.fit***#slx99***Gravel/MTB Winterrunde EndeNovember***36,46***965***02:07:17***17,2***FALSE
2024-11-18-16-29-36.fit***#slx99***Gravel/MTB***25,5***605***01:26:11***17,8***FALSE
2024-11-16-14-29-36.fit***#slx99***Gravel/MTB***22,3***461***01:14:44***17,9***FALSE
2024-10-28-13-28-43.fit***#slx99***Gravel/MTB Herbstrunde EndeOktober***41,02***873***02:13:42***18,4***FALSE
2024-10-26-14-53-31.fit***#slx99***Gravel/MTB***25,05***561***01:17:41***19,3***FALSE
2024-10-20-15-28-36.fit***#slx99***Gravel/MTB***25,2***517***01:16:37***19,7***FALSE
2024-10-06-14-18-30.fit***#slx99***Gravel/MTB***28,98***647***01:30:42***19,2***FALSE
2024-10-03-15-33-39.fit***#slx99***Gravel/MTB***25,33***183***01:04:24***23,6***FALSE
2024-09-24-16-37-35.fit***#slx99***Gravel/MTB***23,63***516***01:08:19***20,8***FALSE
2024-09-20-14-32-50.fit***#exceed***MetzingenTübingenMetzingen***48,29***266***01:46:59***27,1***FALSE
2024-09-14-12-25-41.fit***#exceed***Metzingen #Regeneration***20,73***427***00:59:03***21,1***FALSE
2024-09-01-09-08-48.fit***#exceed***#Albschotter Sägezahnblatt***82,42***1712***04:14:05***19,5***FALSE
2024-08-23-09-56-50.fit***#exceed***#Albschotter Breitensteiner***74,39***1723***04:04:30***18,3***FALSE
2024-08-22-10-32-02.fit***#exceed***#Albschotter Plattenrunde v2***77,09***1541***03:41:53***20,8***FALSE
2024-08-18-11-28-34.fit***#exceed***#Albasphalt RegenRegenRegen100%***79,2***1421***03:41:51***21,4***TRUE
2024-08-17-09-29-08.fit***#exceed***Metzingen #Regeneration***25,75***552***01:25:41***18***FALSE
2024-08-10-11-24-25.fit***#exceed***#Albschotter Speichenwirbel***69,22***1310***03:37:42***19,1***FALSE
2024-08-07-11-08-12.fit***#exceed***#Albschotter Waldenbucher Gravel***65,67***1009***03:05:10***21,3***FALSE
2024-08-05-17-15-11.fit***#exceed***Metzingen #AWR***24,03***513***01:09:38***20,7***FALSE
2024-07-28-16-57-34.fit***#exceed***Metzingen #Regeneration Sonntag***20,91***467***01:13:05***17,2***FALSE
2024-07-26-21-07-31.fit***#exceed***Neuffen StreichenKleben EVA-MARIA***8,28***96***00:22:26***22,1***FALSE
2024-07-26-13-08-18.fit***#exceed***Neuffen StreichenKleben EVA-MARIA***8,11***146***00:23:57***20,3***FALSE
